,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
482,cMono,OSR1,1.0467185782424343e-102,2.7457026744536765e-102,-0.0009312332628373457,0.0,0.0
483,cMono,OSR2,8.486684323890385e-192,1.29118840070618e-190,-0.0009992071132723327,-0.0026137194612946,0.7341101687384849
484,cMono,OTP,1.2166205534655462e-94,2.7864535256791544e-94,-0.00020391005329587782,0.0,0.0
485,cMono,OTX1,1.9703236297932362e-70,3.423156061549423e-70,0.0006046758034618863,0.0,0.0
486,cMono,OTX2,4.384427534059763e-107,1.2518539742020502e-106,0.0007694819651605997,0.0,0.0
487,cMono,OVOL1,1.2126290647162383e-58,1.8936216333178796e-58,-0.0003996565460194605,0.0,0.0
488,cMono,OVOL2,1.1112480424800191e-113,3.5646962808470495e-113,-0.0008625789040140174,0.0,0.0
489,cMono,PATZ1,1.1815681267097413e-124,4.730714492277724e-124,-0.0012465684512703874,0.010385818489469,0.0881666492503824
490,cMono,PAX1,2.174160630382765e-41,3.018880145185978e-41,-0.00016454892322478876,0.0,0.0
491,cMono,PAX2,6.894008687591611e-166,6.497450665738996e-165,0.00036336666210146085,-4.83070707847795e-05,0.9955974098850172
492,cMono,PAX3,1.3257214355609078e-08,1.4893389545067159e-08,0.0003527809877597772,0.0,0.0
493,cMono,PAX4,0.03517314181987321,0.036797049153403705,0.00013864559945049506,0.0,0.0
494,cMono,PAX5,2.5656785739501844e-34,3.402799104927704e-34,-8.73734137497098e-05,0.0785000328331501,8.62652500134778e-51
495,cMono,PAX6,2.3097300340267042e-125,9.388788115413894e-125,-0.0003548170352679174,0.0022993741517991,0.7716663267668901
496,cMono,PAX7,9.161695438473471e-08,1.0249165590309083e-07,-0.00011066044034642453,0.0,0.0
497,cMono,PAX8,3.9102275029811255e-33,5.147580087360815e-33,0.00036573552723133396,-0.0004303205348378,0.9602471868952372
498,cMono,PAX9,1.9023151219620306e-99,4.6573921951484195e-99,0.0005954165599637018,0.005074593686514,0.4700457942257505
499,cMono,PBX1,2.5013890667913528e-101,6.403796529165362e-101,-0.0012832478658438562,0.0081156486627312,0.1995954891684842
500,cMono,PBX2,2.8936162100939094e-62,4.6621804292738486e-62,-0.0003044131937474425,-0.0065398867088762,0.3240730751996155
501,cMono,PBX3,0.6793758012459792,0.6871179756191528,0.0004920381422881259,-0.0084992019980668,0.1753055318536751
